date,position,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url
18-05-2024,1,Tattoo,Loreen,89,183374,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
18-05-2024,2,Daylight,David Kushner,96,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
18-05-2024,3,Cha Cha Cha,Käärijä,86,175161,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273e9973a2290bd5d88c6aad387
18-05-2024,4,Miracle (with Ellie Goulding),Calvin Harris & Ellie Goulding,91,186496,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0
18-05-2024,5,Queen of Kings,Alessandra,85,147979,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732c9eea7700ceb07c4dabf114
18-05-2024,6,Flowers,Miley Cyrus,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
18-05-2024,7,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,131013,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7
18-05-2024,8,People,Libianca,92,184791,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735
18-05-2024,9,Kill Bill,SZA,94,153946,album,23,FALSE,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
18-05-2024,10,Wish You The Best,Lewis Capaldi,87,210880,single,4,FALSE,https://i.scdn.co/image/ab67616d0000b273f4b2bcecd4647b0ba6f59e0b
18-05-2024,11,Giving Me,Jazzy,76,169000,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273e0c6c64da0c8e1d1df7e001c
18-05-2024,12,Anti-Hero,Taylor Swift,94,200690,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
18-05-2024,13,Eyes Closed,Ed Sheeran,80,194848,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796
18-05-2024,14,REACT,Switch Disco & Ella Henderson & Robert Miles,79,201145,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27321acc4c231327248498a35da
18-05-2024,15,As It Was,Harry Styles,92,167303,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
18-05-2024,16,Cupid - Twin Ver.,FIFTY FIFTY,97,174253,single,3,FALSE,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
18-05-2024,17,Chemical,Post Malone,90,184013,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c
18-05-2024,18,Escapism.,RAYE,91,272373,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27394e5237ce925531dbb38e75f
18-05-2024,19,See You Again (feat. Kali Uchis),"Tyler, The Creator",94,180386,album,14,TRUE,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
18-05-2024,20,ceilings,Lizzy McAlpine,91,182887,album,14,FALSE,https://i.scdn.co/image/ab67616d0000b273d370fdc4dbc47778b9b667c3
18-05-2024,21,Calm Down (with Selena Gomez),Rema,78,239317,album,22,FALSE,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7
18-05-2024,22,MATHEMATICAL DISRESPECT,Lil Mabu,84,88304,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273a56e7dc625146a33a712bef4
18-05-2024,23,Dog Days Are Over,Florence + The Machine,82,252818,album,20,FALSE,https://i.scdn.co/image/ab67616d0000b273003f81b1f4246362638e682d
18-05-2024,24,All My Life (feat. J. Cole),Lil Durk & J. Cole,84,223878,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2737c173b0dc64913d4635e3594
18-05-2024,25,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,221520,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
18-05-2024,26,Hell N Back,Bakar,73,213573,single,2,TRUE,https://i.scdn.co/image/ab67616d0000b2733ee73eb16af247a0ea057542
18-05-2024,27,Sure Thing,Miguel,91,195373,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c
18-05-2024,28,If We Ever Broke Up,Mae Stephens,88,142758,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273918207ec2316cec13a0e036f
18-05-2024,29,I Ain't Worried,OneRepublic,55,148120,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273fedd3df3fa6f52c42fbb9e08
18-05-2024,30,I'm Good (Blue),David Guetta & Bebe Rexha,94,175238,single,2,TRUE,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4
18-05-2024,31,I Wrote A Song,Mae Muller,76,165151,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273a0011436fe8a43a11fb6c0ea
18-05-2024,32,Mr. Brightside,The Killers,87,222973,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
18-05-2024,33,Forget Me,Lewis Capaldi,84,203472,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273711fab3ee0bbeddfac44d7d6
18-05-2024,34,Another Love,Tom Odell,63,244360,album,10,TRUE,https://i.scdn.co/image/ab67616d0000b2731b51f809c31f0d98f67c0b7d
18-05-2024,35,Cruel Summer,Taylor Swift,92,178426,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
18-05-2024,36,Search & Rescue,Drake,91,272112,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273cace8a4b2ff924c9e12e3a96
18-05-2024,37,No Role Modelz,J. Cole,90,292799,album,13,TRUE,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8
18-05-2024,38,CUFF IT,Beyoncé,89,225388,album,16,TRUE,https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7
18-05-2024,39,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,90,140017,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a
18-05-2024,40,Players,Coi Leray,92,139560,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b2731cf7cf4446b496525e423465
18-05-2024,41,Last Night,Morgan Wallen,89,163854,album,36,TRUE,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
18-05-2024,42,Unicorn,Noa Kirel,79,170900,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732f5e69e468226d3a6e877e34
18-05-2024,43,messy in heaven,venbee & goddard.,77,170437,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b27302402656bca0b5b39489f39a
18-05-2024,44,Someone You Loved,Lewis Capaldi,89,182160,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2
18-05-2024,45,Riptide,Vance Joy,85,204280,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094
18-05-2024,46,Sweater Weather,The Neighbourhood,91,240400,album,11,FALSE,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
18-05-2024,47,Tony Soprano 2,Nines,67,230243,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273fd3b5f91fafde6c28847297d
18-05-2024,48,golden hour,JVKE,90,209259,album,12,FALSE,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954
18-05-2024,49,Viva La Vida,Coldplay,88,242373,album,10,FALSE,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e
18-05-2024,50,Afraid To Feel,LF SYSTEM,81,177524,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273ced808ef1567eaf901041438
19-05-2024,1,Daylight,David Kushner,97,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
19-05-2024,2,Tattoo,Loreen,90,183374,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
19-05-2024,3,Cha Cha Cha,Käärijä,87,175161,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273e9973a2290bd5d88c6aad387
19-05-2024,4,Miracle (with Ellie Goulding),Calvin Harris & Ellie Goulding,91,186496,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0
19-05-2024,5,Flowers,Miley Cyrus,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
19-05-2024,6,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,131013,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7
19-05-2024,7,People,Libianca,92,184791,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735
19-05-2024,8,Kill Bill,SZA,94,153946,album,23,FALSE,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
19-05-2024,9,Wish You The Best,Lewis Capaldi,87,210880,single,4,FALSE,https://i.scdn.co/image/ab67616d0000b273f4b2bcecd4647b0ba6f59e0b
19-05-2024,10,Queen of Kings,Alessandra,86,147979,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732c9eea7700ceb07c4dabf114
19-05-2024,11,Giving Me,Jazzy,76,169000,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273e0c6c64da0c8e1d1df7e001c
